,Date,Title,Author,Ranking,Year,Month,List
0,2019-01-01,The Reckoning,John Grisham,1,2019,1,combined-print-and-e-book-fiction
1,2019-01-01,Every Breath,Nicholas Sparks,2,2019,1,combined-print-and-e-book-fiction
2,2019-01-01,Fire And Blood,George R.R. Martin,3,2019,1,combined-print-and-e-book-fiction
3,2019-01-01,Where The Crawdads Sing,Delia Owens,4,2019,1,combined-print-and-e-book-fiction
4,2019-01-01,Target: Alex Cross,James Patterson,5,2019,1,combined-print-and-e-book-fiction
5,2019-01-01,A Dog'S Way Home,W. Bruce Cameron,6,2019,1,combined-print-and-e-book-fiction
6,2019-01-01,Past Tense,Lee Child,7,2019,1,combined-print-and-e-book-fiction
7,2019-01-01,The Tattooist Of Auschwitz,Heather Morris,8,2019,1,combined-print-and-e-book-fiction
8,2019-01-01,Long Road To Mercy,David Baldacci,9,2019,1,combined-print-and-e-book-fiction
9,2019-01-01,Nine Perfect Strangers,Liane Moriarty,10,2019,1,combined-print-and-e-book-fiction
10,2019-01-01,The Next Person You Meet In Heaven,Mitch Albom,11,2019,1,combined-print-and-e-book-fiction
11,2019-01-01,Safe And Sound,Fern Michaels,12,2019,1,combined-print-and-e-book-fiction
12,2019-01-01,Milk And Honey,Rupi Kaur,13,2019,1,combined-print-and-e-book-fiction
13,2019-01-01,Elevation,Stephen King,14,2019,1,combined-print-and-e-book-fiction
14,2019-01-01,Tom Clancy: Oath Of Office,Marc Cameron,15,2019,1,combined-print-and-e-book-fiction
15,2019-02-01,Where The Crawdads Sing,Delia Owens,1,2019,2,combined-print-and-e-book-fiction
16,2019-02-01,Liar Liar,James Patterson and Candice Fox,2,2019,2,combined-print-and-e-book-fiction
17,2019-02-01,The Tattooist Of Auschwitz,Heather Morris,3,2019,2,combined-print-and-e-book-fiction
18,2019-02-01,The Reckoning,John Grisham,4,2019,2,combined-print-and-e-book-fiction
19,2019-02-01,Turning Point,Danielle Steel,5,2019,2,combined-print-and-e-book-fiction
20,2019-02-01,An Anonymous Girl,Greer Hendricks and Sarah Pekkanen,6,2019,2,combined-print-and-e-book-fiction
21,2019-02-01,Deal With The Devil,Meghan March,7,2019,2,combined-print-and-e-book-fiction
22,2019-02-01,Eleanor Oliphant Is Completely Fine,Gail Honeyman,8,2019,2,combined-print-and-e-book-fiction
23,2019-02-01,A Dog'S Way Home,W. Bruce Cameron,9,2019,2,combined-print-and-e-book-fiction
24,2019-02-01,The House Next Door,James Patterson,10,2019,2,combined-print-and-e-book-fiction
25,2019-02-01,Summoned To The Thirteenth Grave,Darynda Jones,11,2019,2,combined-print-and-e-book-fiction
26,2019-02-01,Securing Caite,Susan Stoker,12,2019,2,combined-print-and-e-book-fiction
27,2019-02-01,Nine Perfect Strangers,Liane Moriarty,13,2019,2,combined-print-and-e-book-fiction
28,2019-02-01,A Soldier'S Return,RaeAnne Thayne,14,2019,2,combined-print-and-e-book-fiction
29,2019-02-01,The New Iberia Blues,James Lee Burke,15,2019,2,combined-print-and-e-book-fiction
30,2019-03-01,Where The Crawdads Sing,Delia Owens,1,2019,3,combined-print-and-e-book-fiction
31,2019-03-01,The Tattooist Of Auschwitz,Heather Morris,2,2019,3,combined-print-and-e-book-fiction
32,2019-03-01,Connections In Death,J.D. Robb,3,2019,3,combined-print-and-e-book-fiction
33,2019-03-01,The Lost Girls Of Paris,Pam Jenoff,4,2019,3,combined-print-and-e-book-fiction
34,2019-03-01,The Silent Patient,Alex Michaelides,5,2019,3,combined-print-and-e-book-fiction
35,2019-03-01,The Wedding Guest,Jonathan Kellerman,6,2019,3,combined-print-and-e-book-fiction
36,2019-03-01,Eleanor Oliphant Is Completely Fine,Gail Honeyman,7,2019,3,combined-print-and-e-book-fiction
37,2019-03-01,An Anonymous Girl,Greer Hendricks and Sarah Pekkanen,8,2019,3,combined-print-and-e-book-fiction
38,2019-03-01,The Reckoning,John Grisham,9,2019,3,combined-print-and-e-book-fiction
39,2019-03-01,"Black Leopard, Red Wolf",Marlon James,10,2019,3,combined-print-and-e-book-fiction
40,2019-03-01,An American Marriage,Tayari Jones,11,2019,3,combined-print-and-e-book-fiction
41,2019-03-01,Luck Of The Devil,Meghan March,12,2019,3,combined-print-and-e-book-fiction
42,2019-03-01,Shelter For Quinn,Susan Stoker,13,2019,3,combined-print-and-e-book-fiction
43,2019-03-01,Fifty Fifty,James Patterson and Candice Fox,14,2019,3,combined-print-and-e-book-fiction
44,2019-03-01,Lilac Girls,Martha Hall Kelly,15,2019,3,combined-print-and-e-book-fiction
45,2019-04-01,Where The Crawdads Sing,Delia Owens,1,2019,4,combined-print-and-e-book-fiction
46,2019-04-01,Run Away,Harlan Coben,2,2019,4,combined-print-and-e-book-fiction
47,2019-04-01,Celtic Empire,Clive Cussler and Dirk Cussler,3,2019,4,combined-print-and-e-book-fiction
48,2019-04-01,The First Lady,James Patterson and Brendan DuBois,4,2019,4,combined-print-and-e-book-fiction
49,2019-04-01,The Woman In The Window,A.J. Finn,5,2019,4,combined-print-and-e-book-fiction
50,2019-04-01,The Tattooist Of Auschwitz,Heather Morris,6,2019,4,combined-print-and-e-book-fiction
51,2019-04-01,Wolf Pack,C.J. Box,7,2019,4,combined-print-and-e-book-fiction
52,2019-04-01,The Lost Girls Of Paris,Pam Jenoff,8,2019,4,combined-print-and-e-book-fiction
53,2019-04-01,Cemetery Road,Greg Iles,9,2019,4,combined-print-and-e-book-fiction
54,2019-04-01,The Silent Patient,Alex Michaelides,10,2019,4,combined-print-and-e-book-fiction
55,2019-04-01,Daisy Jones & The Six,Taylor Jenkins Reid,11,2019,4,combined-print-and-e-book-fiction
56,2019-04-01,Eleanor Oliphant Is Completely Fine,Gail Honeyman,12,2019,4,combined-print-and-e-book-fiction
57,2019-04-01,The Fallen,David Baldacci,13,2019,4,combined-print-and-e-book-fiction
58,2019-04-01,Silent Night,Danielle Steel,14,2019,4,combined-print-and-e-book-fiction
59,2019-04-01,The Huntress,Kate Quinn,15,2019,4,combined-print-and-e-book-fiction
60,2019-05-01,Redemption,David Baldacci,1,2019,5,combined-print-and-e-book-fiction
61,2019-05-01,The Mister,E L James,2,2019,5,combined-print-and-e-book-fiction
62,2019-05-01,Where The Crawdads Sing,Delia Owens,3,2019,5,combined-print-and-e-book-fiction
63,2019-05-01,Normal People,Sally Rooney,4,2019,5,combined-print-and-e-book-fiction
64,2019-05-01,A Game Of Thrones,George R.R. Martin,5,2019,5,combined-print-and-e-book-fiction
65,2019-05-01,The Tattooist Of Auschwitz,Heather Morris,6,2019,5,combined-print-and-e-book-fiction
66,2019-05-01,The 13-Minute Murder,James Patterson,7,2019,5,combined-print-and-e-book-fiction
67,2019-05-01,The Woman In The Window,A.J. Finn,8,2019,5,combined-print-and-e-book-fiction
68,2019-05-01,The Overstory,Richard Powers,9,2019,5,combined-print-and-e-book-fiction
69,2019-05-01,Lost Roses,Martha Hall Kelly,10,2019,5,combined-print-and-e-book-fiction
70,2019-05-01,After,Anna Todd,11,2019,5,combined-print-and-e-book-fiction
71,2019-05-01,A Gentleman In Moscow,Amor Towles,12,2019,5,combined-print-and-e-book-fiction
72,2019-05-01,Someone Knows,Lisa Scottoline,13,2019,5,combined-print-and-e-book-fiction
73,2019-05-01,The Lost Girls Of Paris,Pam Jenoff,14,2019,5,combined-print-and-e-book-fiction
74,2019-05-01,Star Wars: Master & Apprentice,Claudia Gray,15,2019,5,combined-print-and-e-book-fiction
75,2019-06-01,Where The Crawdads Sing,Delia Owens,1,2019,6,combined-print-and-e-book-fiction
76,2019-06-01,The Night Window,Dean Koontz,2,2019,6,combined-print-and-e-book-fiction
77,2019-06-01,The 18Th Abduction,James Patterson and Maxine Paetro,3,2019,6,combined-print-and-e-book-fiction
78,2019-06-01,The Mister,E L James,4,2019,6,combined-print-and-e-book-fiction
79,2019-06-01,Past Tense,Lee Child,5,2019,6,combined-print-and-e-book-fiction
80,2019-06-01,Redemption,David Baldacci,6,2019,6,combined-print-and-e-book-fiction
81,2019-06-01,A Game Of Thrones,George R.R. Martin,7,2019,6,combined-print-and-e-book-fiction
82,2019-06-01,Blessing In Disguise,Danielle Steel,8,2019,6,combined-print-and-e-book-fiction
83,2019-06-01,Neon Prey,John Sandford,9,2019,6,combined-print-and-e-book-fiction
84,2019-06-01,The Never Game,Jeffery Deaver,10,2019,6,combined-print-and-e-book-fiction
85,2019-06-01,Sunset Beach,Mary Kay Andrews,11,2019,6,combined-print-and-e-book-fiction
86,2019-06-01,The Tattooist Of Auschwitz,Heather Morris,12,2019,6,combined-print-and-e-book-fiction
87,2019-06-01,Little Fires Everywhere,Celeste Ng,13,2019,6,combined-print-and-e-book-fiction
88,2019-06-01,The Guest Book,Sarah Blake,14,2019,6,combined-print-and-e-book-fiction
89,2019-06-01,The Unhoneymooners,Christina Lauren,15,2019,6,combined-print-and-e-book-fiction
